"cod","cod_interno","erro","origem.motivo","origem.matricula","origem.inicio","origem.fim"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000018817","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000018976","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000018999","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000020822","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000020926","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000021012","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000021576","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000021816","2019-09-02T00:00:00","2019-09-22T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000021904]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000021904","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000021934]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000021934","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000021982","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000022022","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000022129","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000022671]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000022671","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000022702]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000022702","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000022822]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000022822","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000022933]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000022933","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000023164]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000023164","2019-09-10T00:00:00","2019-09-30T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000023235]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000023235","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024223]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000024223","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024251]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000024251","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024262]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000024262","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024366]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000024366","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024370]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000024370","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000024404","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000024450","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000024472","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024493]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000024493","2019-09-02T00:00:00","2019-09-17T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000024624]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000024624","2019-09-16T00:00:00","2019-10-01T00:00"
,,"[""Não foi possível encontrar o funcionário com a matrícula [000025150]"",""Não foi possível inserir afastamento sem selecionar funcionários.""]","FÉRIAS","000025150","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000025331","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000025468","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000026361","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000026828","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000028040","2019-09-11T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000028299","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000028343","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000028403","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000028430","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000028437","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000029056","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000029090","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000029129","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000029153","2019-09-02T00:00:00","2019-09-17T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000029468","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000029706","2019-09-02T00:00:00","2019-09-22T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000029803","2019-09-16T00:00:00","2019-10-01T00:00"
,,"O afastamento possui intersecção com outro já cadastrado.","FÉRIAS","000030673","2019-09-02T00:00:00","2019-09-17T00:00"
